Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
12,12,11/19/2003,18-324,CLE,@,WAS,L (-11),1,39:09:00,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,25,-5
13,13,11/21/2003,18-326,CLE,,MIN,L (-14),1,35:18:00,8,19,0.421,0,2,0,3,3,1,2,7,9,2,1,0,1,4,19,12.2,-5
14,14,11/22/2003,18-327,CLE,@,ATL,L (-9),1,42:18:00,3,16,0.188,0,1,0,9,10,0.9,2,4,6,4,2,1,3,1,15,9.3,-6
15,15,11/26/2003,18-331,CLE,@,NOH,L (-10),1,38:48:00,5,17,0.294,1,4,0.25,4,4,1,2,6,8,9,0,0,4,1,15,10.2,-13
16,16,11/28/2003,18-333,CLE,@,DET,L (-4),1,36:27:00,2,8,0.25,0,2,0,2,3,0.667,0,2,2,7,0,0,4,3,6,1.1,-10
17,17,11/29/2003,18-334,CLE,,MEM,L (-7),1,54:41:00,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,1,33,22.4,-10
18,18,12/2/2003,18-337,CLE,@,DEN,L (-12),1,32:31:00,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,12.2,-12
19,19,12/3/2003,18-338,CLE,@,LAC,L (-10),1,34:05:00,2,13,0.154,0,3,0,0,0,,4,2,6,8,2,0,5,2,4,0.9,3
20,20,12/6/2003,18-341,CLE,,ATL,W (+10),1,36:04:00,4,12,0.333,0,2,0,0,0,,1,5,6,5,2,1,3,2,8,5.8,-5
21,21,12/9/2003,18-344,CLE,,TOR,L (-7),1,37:03:00,7,16,0.438,0,0,,4,4,1,0,5,5,3,1,0,2,2,18,11.4,-2
22,22,12/11/2003,18-346,CLE,,DET,W (+9),1,42:46:00,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,3,23,14.8,9
23,23,12/13/2003,18-348,CLE,,BOS,L (-7),1,45:25:00,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,2,37,27.5,-2
24,24,12/15/2003,18-350,CLE,@,IND,L (-10),1,43:40:00,10,16,0.625,0,3,0,7,8,0.875,1,3,4,6,3,3,6,1,27,23.9,-12
25,25,12/17/2003,18-352,CLE,,HOU,L (-4),1,36:00:00,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,5.7,-9
26,26,12/19/2003,18-354,CLE,@,PHI,W (+7),1,41:41:00,14,24,0.583,5,7,0.714,3,3,1,1,3,4,5,4,0,4,1,36,29.5,9
27,27,12/20/2003,18-355,CLE,@,CHI,W (+8),1,41:44:00,11,22,0.5,0,5,0,10,12,0.833,1,5,6,10,2,2,4,2,32,28,9
28,28,12/23/2003,18-358,CLE,,NOH,W (+11),1,39:10:00,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,1,22,14.3,9
29,29,12/25/2003,18-360,CLE,@,ORL,L (-12),1,47:06:00,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,19.1,-9
30,30,12/26/2003,18-361,CLE,,CHI,L (-7),1,34:20:00,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,5.1,-12
31,31,12/28/2003,18-363,CLE,,POR,W (+12),1,39:05:00,15,23,0.652,0,2,0,2,2,1,3,7,10,9,3,0,5,1,32,30,11
32,32,12/30/2003,19-000,CLE,,IND,L (-3),1,38:07:00,9,20,0.45,0,4,0,4,6,0.667,2,8,10,4,0,0,4,2,22,12.6,-2
33,33,1/2/2004,19-003,CLE,@,NJN,L (-15),1,36:04:00,6,19,0.316,0,4,0,2,4,0.5,1,3,4,9,1,0,3,2,14,7.4,-14
34,34,1/6/2004,19-007,CLE,,NYK,W (+11),1,41:25:00,6,17,0.353,0,2,0,2,2,1,0,4,4,10,1,1,4,1,14,10,10
35,35,1/7/2004,19-008,CLE,@,TOR,L (-6),1,38:14:00,10,23,0.435,0,3,0,1,2,0.5,0,2,2,5,0,0,2,3,21,9.4,-2
36,36,1/9/2004,19-010,CLE,@,BOS,L (-25),1,42:13:00,7,19,0.368,0,3,0,5,7,0.714,0,3,3,6,3,0,5,1,19,10.4,-30
37,37,1/12/2004,19-013,CLE,@,LAL,L (-10),1,36:26:00,6,20,0.3,0,3,0,4,5,0.8,1,4,5,7,1,1,6,3,16,5.3,3
38,38,1/13/2004,19-014,CLE,@,SEA,W (+8),1,43:54:00,11,26,0.423,0,1,0,5,6,0.833,4,5,9,9,2,0,4,2,27,20.6,11
39,39,1/15/2004,19-016,CLE,@,GSW,L (-17),1,43:25:00,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,0,29,24.5,-14
40,40,1/17/2004,19-018,CLE,@,UTA,W (+6),1,44:25:00,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,15.2,8
41,,1/20/2004,19-021,CLE,,SEA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,1/22/2004,19-023,CLE,,SAC,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,1/24/2004,19-025,CLE,,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,41,1/26/2004,19-027,CLE,,ORL,W (+1),1,29:58:00,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,5.5,-10
45,42,1/28/2004,19-029,CLE,,MIA,W (+1),1,44:24:00,10,25,0.4,0,1,0,7,10,0.7,0,5,5,4,2,1,1,1,27,17.9,2
46,43,1/30/2004,19-031,CLE,@,MIL,L (-6),1,37:17:00,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,5,20,3.4,3
47,44,2/1/2004,19-033,CLE,@,WAS,W (+4),1,43:24:00,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,4,38,23.5,0
48,45,2/3/2004,19-035,CLE,@,DET,W (+3),1,38:11:00,5,19,0.263,0,1,0,2,2,1,1,3,4,6,2,0,1,2,12,6.7,-1
49,46,2/4/2004,19-036,CLE,,LAL,L (-5),1,43:05:00,12,26,0.462,4,4,1,4,5,0.8,0,4,4,4,0,0,0,0,32,22.2,-2
50,47,2/6/2004,19-038,CLE,@,MIN,L (-11),1,44:35:00,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,2,14,5.4,-16
51,48,2/7/2004,19-039,CLE,,WAS,L (-18),1,34:04:00,6,16,0.375,0,0,,2,2,1,0,0,0,6,4,1,3,2,14,10.3,-24
52,49,2/9/2004,19-041,CLE,,BOS,W (+8),1,43:18:00,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,3,24,14.1,19
53,50,2/11/2004,19-043,CLE,,NJN,L (-20),1,29:32:00,2,13,0.154,0,1,0,5,5,1,1,1,2,5,1,0,5,0,9,1.2,-12
54,51,2/18/2004,19-050,CLE,,DAL,L (-16),1,33:39:00,6,12,0.5,0,0,,4,4,1,2,2,4,9,0,1,5,2,16,13.2,-15
55,52,2/20/2004,19-052,CLE,,SAS,W (+2),1,39:37:00,14,23,0.609,0,0,,4,4,1,2,9,11,2,2,1,2,0,32,27.7,3
56,53,2/22/2004,19-054,CLE,@,NYK,W (+6),1,43:47:00,7,20,0.35,0,0,,8,12,0.667,1,4,5,3,1,0,1,2,22,12.4,11
57,54,2/23/2004,19-055,CLE,,NOH,W (+4),1,36:36:00,7,16,0.438,1,5,0.2,6,6,1,0,4,4,6,2,5,1,3,21,21.3,4
58,55,2/25/2004,19-057,CLE,@,HOU,L (-6),1,38:38:00,5,18,0.278,0,2,0,1,3,0.333,2,5,7,5,2,1,2,1,11,6.3,-5
59,56,2/27/2004,19-059,CLE,@,ORL,W (+5),1,49:13:00,11,19,0.579,1,1,1,7,8,0.875,1,10,11,3,3,1,5,1,30,24.8,7
60,57,3/1/2004,19-062,CLE,@,CHI,L (-11),1,40:48:00,7,17,0.412,0,2,0,4,6,0.667,0,3,3,3,4,1,3,2,18,12,-4
61,58,3/3/2004,19-064,CLE,,ATL,W (+32),1,27:36:00,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,24,20.6,22
62,59,3/5/2004,19-066,CLE,@,NOH,W (+3),1,37:47:00,7,17,0.412,2,2,1,3,4,0.75,2,4,6,4,2,0,4,5,19,10.9,1
63,60,3/6/2004,19-067,CLE,,MIL,W (+9),1,42:42:00,11,24,0.458,0,3,0,2,3,0.667,2,5,7,10,4,1,2,3,24,22.6,9
64,61,3/8/2004,19-069,CLE,@,ATL,W (+6),1,45:06:00,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,34,27.6,11
65,62,3/10/2004,19-071,CLE,@,TOR,W (+14),1,33:46:00,4,13,0.308,0,0,,6,7,0.857,1,2,3,4,1,0,2,2,14,8.4,16
66,63,3/14/2004,19-075,CLE,,IND,W (+3),1,44:09:00,12,22,0.545,0,2,0,2,4,0.5,0,3,3,4,3,1,4,3,26,16.8,5
67,64,3/16/2004,19-077,CLE,,CHI,W (+24),1,32:08:00,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,17,14,24
68,65,3/19/2004,19-080,CLE,,UTA,L (-9),1,34:16:00,4,14,0.286,0,2,0,6,10,0.6,0,0,0,7,2,1,2,3,14,8.6,-2
69,66,3/21/2004,19-082,CLE,,DET,L (-20),1,36:45:00,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,15,5.5,-21
70,67,3/23/2004,19-084,CLE,,PHO,L (-17),1,40:58:00,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,0,25,16.6,-12
71,68,3/26/2004,19-087,CLE,@,PHI,L (-15),1,32:46:00,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,1,16,9.2,-24
72,69,3/27/2004,19-088,CLE,,NJN,W (+3),1,43:48:00,15,29,0.517,1,2,0.5,10,10,1,2,4,6,13,3,0,2,1,41,39,10
73,70,3/29/2004,19-090,CLE,@,SAS,L (-8),1,31:40:00,9,20,0.45,0,1,0,0,0,,0,2,2,4,0,1,2,0,18,9.7,-14
74,71,3/30/2004,19-091,CLE,@,DAL,L (-17),1,42:05:00,13,22,0.591,0,2,0,2,4,0.5,1,4,5,6,4,0,3,2,28,23.3,-10
75,72,4/2/2004,19-094,CLE,@,MIL,L (-18),1,36:38:00,9,19,0.474,0,0,,2,2,1,0,7,7,7,5,0,5,3,20,16.1,-13
76,73,4/3/2004,19-095,CLE,,GSW,L (-3),1,46:15:00,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,1,34,26.5,-3
77,74,4/6/2004,19-098,CLE,,TOR,L (-1),1,46:00:00,5,17,0.294,0,0,,11,14,0.786,1,5,6,4,3,0,3,2,21,14.1,2
78,75,4/7/2004,19-099,CLE,@,MEM,L (-18),1,36:35:00,4,11,0.364,0,0,,6,7,0.857,0,3,3,5,3,0,2,4,14,11.3,-11
79,76,4/9/2004,19-101,CLE,@,MIA,L (-15),1,42:13:00,6,14,0.429,1,1,1,11,15,0.733,1,6,7,8,1,0,8,2,24,15.3,-16
80,77,4/10/2004,19-102,CLE,,MIA,W (+11),1,31:38:00,4,11,0.364,0,2,0,2,5,0.4,1,2,3,11,0,0,2,3,10,8.5,14
81,78,4/12/2004,19-104,CLE,,MIL,W (+4),1,45:18:00,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,1,27,24.8,11
82,79,4/14/2004,19-106,CLE,@,NYK,W (+10),1,35:05:00,8,17,0.471,0,3,0,1,1,1,0,1,1,5,3,0,5,1,17,9.7,-6
